CP13	CP24	CPT	CPS	alpha	beta
-0.937443218	-0.413274886	-0.037273882	1.362755137	10	0
-0.451537702	-0.227780557	-0.008558675	1.504186503	5	0
0.016582171	-0.05059979	-0.00498228	1.619396868	0	0
0.499794474	0.120986527	-0.027449189	1.550079927	-5	0
1.013287952	0.296491058	-0.089325762	1.454720062	-10	0
1.541163977	0.491148414	-0.204231832	1.331732656	-15	0
2.07440365	0.75998163	-0.407439675	1.261861099	-20	0
2.877636264	1.061724621	-0.827323217	1.092577712	-25	0
4.294306391	1.598030363	-1.701241611	0.929745102	-30	0
7.6	2.974705735	-3.909892312	0.669321312	-35	0
34.58818762	13.57592949	-22.44797893	-0.548779252	-40	0
-10.13636012	-2.445816009	-5.507237183	-0.490400873	40	5
-5.930615309	-1.357289687	-2.637728895	0.279717221	35	5
-4.013076524	-0.836145922	-1.412771282	0.664817535	30	5
-2.886995592	-0.506112831	-0.739557123	0.911542266	25	5
-2.132751568	-0.277196618	-0.353487865	1.105895828	20	5
-1.567868466	-0.09708036	-0.138391151	1.188769661	15	5
-1.092308137	0.062268139	-0.041823966	1.334144245	10	5
-0.6007957	0.228399237	-0.009199515	1.463004542	5	5
-0.130546941	0.401413998	-0.007528345	1.541252899	0	5
0.342719734	0.566465155	-0.028743511	1.507404994	-5	5
0.843728104	0.776743414	-0.092184592	1.433253662	-10	5
1.361311978	1.0042119	-0.207066004	1.322066523	-15	5
1.912783909	1.25601043	-0.409433776	1.255194843	-20	5
2.716067461	1.662298889	-0.832294689	1.095608827	-25	5
4.174852821	2.425252674	-1.747375062	0.959177399	-30	5
7.292814371	4.071457086	-3.873403194	0.68498004	-35	5
53.00466013	28.65434678	-35.98457336	-0.66704162	-40	5
-10.54967571	-0.918007373	-5.775299461	-0.684934723	40	10
-6.254849078	-0.362462381	-2.839978757	0.127504128	35	10
-4.264641859	-0.072083296	-1.555933171	0.55044257	30	10
-3.110958626	0.132105278	-0.848650052	0.821056648	25	10
-2.34810863	0.291246789	-0.445256756	1.030055545	20	10
-1.744395198	0.431171737	-0.208163002	1.215779509	15	10
-1.275226439	0.577231205	-0.093713593	1.273771517	10	10
-0.803138661	0.740876951	-0.05149898	1.371050013	5	10
-0.328632264	0.904239635	-0.04543531	1.411999316	0	10
0.153901443	1.072910427	-0.067323714	1.390612578	-5	10
0.649665491	1.262812145	-0.135911073	1.34153005	-10	10
1.160829439	1.484915851	-0.253396063	1.326425863	-15	10
1.730342372	1.783258262	-0.471492935	1.173864316	-20	10
2.502615217	2.245589806	-0.884731142	1.015614817	-25	10
3.951750642	3.220529287	-1.841004853	0.882650442	-30	10
6.787216848	5.162238276	-3.885637321	0.56987878	-35	10
233.2390171	167.985108	-172.6195086	-5.344005957	-40	10
-11.65261707	0.696421821	-6.558663659	-0.989628217	40	15
-6.886063174	0.69421427	-3.265863285	-0.037419723	35	15
-4.781609265	0.754962088	-1.889434028	0.427772975	30	15
-3.483397134	0.81755788	-1.083666941	0.735245321	25	15
-2.641662443	0.906879233	-0.632769663	0.963899	20	15
-1.99295806	1.008958417	-0.362125061	1.14830414	15	15
-1.478484528	1.123677192	-0.214798997	1.289813954	10	15
-1.013201263	1.277522729	-0.159465078	1.288230314	5	15
-0.531231433	1.423587019	-0.145109462	1.305237632	0	15
-0.038004239	1.569579392	-0.162669335	1.265986636	-5	15
0.444288687	1.730088676	-0.234950228	1.288013235	-10	15
0.982743279	2.004031539	-0.394382106	1.20580901	-15	15
1.616970929	2.408304674	-0.681809607	1.093208606	-20	15
2.488094824	3.04990063	-1.199961085	0.956096737	-25	15
4.045553168	4.354642028	-2.319931387	0.794193954	-30	15
6.994644886	6.862660248	-4.629956185	0.396062098	-35	15
-65.21781737	-59.8155902	54.58975501	3.24454343	-40	15
-14.70192172	2.922654721	-8.717383376	-1.623383458	40	20
-8.182538345	2.031929268	-4.142194318	-0.288158562	35	20
-5.644262317	1.792091855	-2.469741852	0.275508499	30	20
-4.119891616	1.685756981	-1.527326814	0.628889118	25	20
-3.11688509	1.678911048	-0.980006331	0.875504907	20	20
-2.380466979	1.71691031	-0.650125319	1.052070467	15	20
-1.799646359	1.785253585	-0.459815267	1.17344397	10	20
-1.276514991	1.887831216	-0.376187187	1.246220776	5	20
-0.773372784	2.006458215	-0.353764083	1.253511527	0	20
-0.263938736	2.146393874	-0.380706366	1.199222768	-5	20
0.24232755	2.328189342	-0.475006842	1.128072536	-10	20
0.819330289	2.684419865	-0.700242553	1.067327139	-15	20
1.556297528	3.299878211	-1.124204041	0.995552687	-20	20
2.6416626	4.346260106	-1.900364335	0.87834977	-25	20
4.693027439	6.546726425	-3.611594849	0.668626522	-30	20
9.761220007	12.12614479	-8.158302598	0.073391074	-35	20
-20.97795152	-24.02845973	20.71321345	2.040031274	-40	20
-22.21597745	7.303542373	-14.16784365	-3.136437263	40	25
-10.52391784	4.064051304	-5.867405563	-0.751369852	35	25
-7.058147711	3.266857017	-3.521048997	0.014490947	30	25
-5.061053297	2.865360182	-2.251002379	0.4389575	25	25
-3.852325396	2.702137243	-1.560579424	0.71586732	20	25
